# MIDI Notes Export
# Format: T (seconds) | Pitch (MIDI note number) | Velocity
# ============================================================

T=0.0000s | Pitch=43 | Vel=50
T=0.0000s | Pitch=47 | Vel=50
T=0.0000s | Pitch=59 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=47 | Vel=50
T=0.0000s | Pitch=59 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=72 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=52 | Vel=50
T=0.0000s | Pitch=55 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=72 | Vel=50
T=0.0000s | Pitch=84 | Vel=50
T=0.0000s | Pitch=52 | Vel=50
T=0.0000s | Pitch=55 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=59 | Vel=50
T=0.0000s | Pitch=71 | Vel=50
T=0.0000s | Pitch=45 | Vel=50
T=0.0000s | Pitch=81 | Vel=50
T=0.0000s | Pitch=69 | Vel=50
T=0.0000s | Pitch=45 | Vel=50
T=0.0000s | Pitch=83 | Vel=50
T=0.0000s | Pitch=71 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=81 | Vel=50
T=0.0000s | Pitch=69 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=57 | Vel=50
T=0.0000s | Pitch=52 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=52 | Vel=50
T=0.0000s | Pitch=57 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=41 | Vel=50
T=0.0000s | Pitch=77 | Vel=50
T=0.0000s | Pitch=65 | Vel=50
T=0.0000s | Pitch=41 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=45 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=77 | Vel=50
T=0.0000s | Pitch=65 | Vel=50
T=0.0000s | Pitch=50 | Vel=50
T=0.0000s | Pitch=53 | Vel=50
T=0.0000s | Pitch=57 | Vel=50
T=0.0000s | Pitch=45 | Vel=50
T=0.0000s | Pitch=53 | Vel=50
T=0.0000s | Pitch=50 | Vel=50
T=0.0000s | Pitch=57 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=76 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=43 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=43 | Vel=50
T=0.0000s | Pitch=47 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=59 | Vel=50
T=0.0000s | Pitch=47 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=59 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=52 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=52 | Vel=50
T=0.0000s | Pitch=45 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=45 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=41 | Vel=50
T=0.0000s | Pitch=41 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=45 | Vel=50
T=0.0000s | Pitch=59 | Vel=50
T=0.0000s | Pitch=45 | Vel=50
T=0.0000s | Pitch=57 | Vel=50
T=0.0000s | Pitch=43 | Vel=50
T=0.0000s | Pitch=59 | Vel=50
T=0.0000s | Pitch=43 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=47 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=47 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=52 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=55 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=52 | Vel=50
T=0.0000s | Pitch=55 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=45 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=45 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=55 | Vel=50
T=0.0000s | Pitch=52 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=55 | Vel=50
T=0.0000s | Pitch=52 | Vel=50
T=0.0000s | Pitch=41 | Vel=50
T=0.0000s | Pitch=41 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=45 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=50 | Vel=50
T=0.0000s | Pitch=53 | Vel=50
T=0.0000s | Pitch=45 | Vel=50
T=0.0000s | Pitch=50 | Vel=50
T=0.0000s | Pitch=53 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=43 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=43 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=47 | Vel=50
T=0.0000s | Pitch=65 | Vel=50
T=0.0000s | Pitch=53 | Vel=50
T=0.0000s | Pitch=50 | Vel=50
T=0.0000s | Pitch=55 | Vel=50
T=0.0000s | Pitch=47 | Vel=50
T=0.0000s | Pitch=55 | Vel=50
T=0.0000s | Pitch=53 | Vel=50
T=0.0000s | Pitch=50 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=52 | Vel=50
T=0.0000s | Pitch=55 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=52 | Vel=50
T=0.0000s | Pitch=55 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=45 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=72 | Vel=50
T=0.0000s | Pitch=45 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=57 | Vel=50
T=0.0000s | Pitch=52 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=57 | Vel=50
T=0.0000s | Pitch=52 | Vel=50
T=0.0000s | Pitch=41 | Vel=50
T=0.0000s | Pitch=41 | Vel=50
T=0.0000s | Pitch=69 | Vel=50
T=0.0000s | Pitch=81 | Vel=50
T=0.0000s | Pitch=45 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=57 | Vel=50
T=0.0000s | Pitch=53 | Vel=50
T=0.0000s | Pitch=50 | Vel=50
T=0.0000s | Pitch=45 | Vel=50
T=0.0000s | Pitch=50 | Vel=50
T=0.0000s | Pitch=53 | Vel=50
T=0.0000s | Pitch=57 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=77 | Vel=50
T=0.0000s | Pitch=65 | Vel=50
T=0.0000s | Pitch=43 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=76 | Vel=50
T=0.0000s | Pitch=43 | Vel=50
T=0.0000s | Pitch=47 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=47 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=72 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=52 | Vel=50
T=0.0000s | Pitch=72 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=84 | Vel=50
T=0.0000s | Pitch=55 | Vel=50
T=0.0000s | Pitch=52 | Vel=50
T=0.0000s | Pitch=83 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=71 | Vel=50
T=0.0000s | Pitch=55 | Vel=50
T=0.0000s | Pitch=45 | Vel=50
T=0.0000s | Pitch=69 | Vel=50
T=0.0000s | Pitch=81 | Vel=50
T=0.0000s | Pitch=45 | Vel=50
T=0.0000s | Pitch=71 | Vel=50
T=0.0000s | Pitch=83 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=81 | Vel=50
T=0.0000s | Pitch=69 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=52 | Vel=50
T=0.0000s | Pitch=57 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=57 | Vel=50
T=0.0000s | Pitch=52 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=41 | Vel=50
T=0.0000s | Pitch=77 | Vel=50
T=0.0000s | Pitch=65 | Vel=50
T=0.0000s | Pitch=41 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=45 | Vel=50
T=0.0000s | Pitch=77 | Vel=50
T=0.0000s | Pitch=65 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=50 | Vel=50
T=0.0000s | Pitch=53 | Vel=50
T=0.0000s | Pitch=45 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=53 | Vel=50
T=0.0000s | Pitch=50 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=76 | Vel=50
T=0.0000s | Pitch=43 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=43 | Vel=50
T=0.0000s | Pitch=47 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=59 | Vel=50
T=0.0000s | Pitch=47 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=59 | Vel=50
T=0.0000s | Pitch=48 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=72 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=36 | Vel=50
T=0.0000s | Pitch=24 | Vel=50
T=0.0000s | Pitch=24 | Vel=50
