# MIDI Notes Export
# Format: T (seconds) | Pitch (MIDI note number) | Velocity
# ============================================================

T=0.0000s | Pitch=51 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=54 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=54 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=55 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=55 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=55 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=55 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=55 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=55 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=55 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=78 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=78 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=78 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=77 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=81 | Vel=50
T=0.0000s | Pitch=81 | Vel=50
T=0.0000s | Pitch=82 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=72 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=82 | Vel=50
T=0.0000s | Pitch=81 | Vel=50
T=0.0000s | Pitch=78 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=86 | Vel=50
T=0.0000s | Pitch=85 | Vel=50
T=0.0000s | Pitch=81 | Vel=50
T=0.0000s | Pitch=84 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=82 | Vel=50
T=0.0000s | Pitch=78 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=72 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=82 | Vel=50
T=0.0000s | Pitch=81 | Vel=50
T=0.0000s | Pitch=78 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=91 | Vel=50
T=0.0000s | Pitch=86 | Vel=50
T=0.0000s | Pitch=82 | Vel=50
T=0.0000s | Pitch=80 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=73 | Vel=50
T=0.0000s | Pitch=69 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=56 | Vel=50
T=0.0000s | Pitch=69 | Vel=50
T=0.0000s | Pitch=61 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=73 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=69 | Vel=50
T=0.0000s | Pitch=65 | Vel=50
T=0.0000s | Pitch=72 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=59 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=57 | Vel=50
T=0.0000s | Pitch=72 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=71 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=68 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=71 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=83 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=82 | Vel=50
T=0.0000s | Pitch=69 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=68 | Vel=50
T=0.0000s | Pitch=81 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=80 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=77 | Vel=50
T=0.0000s | Pitch=59 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=69 | Vel=50
T=0.0000s | Pitch=68 | Vel=50
T=0.0000s | Pitch=65 | Vel=50
T=0.0000s | Pitch=72 | Vel=50
T=0.0000s | Pitch=71 | Vel=50
T=0.0000s | Pitch=68 | Vel=50
T=0.0000s | Pitch=76 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=71 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=65 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=69 | Vel=50
T=0.0000s | Pitch=68 | Vel=50
T=0.0000s | Pitch=65 | Vel=50
T=0.0000s | Pitch=81 | Vel=50
T=0.0000s | Pitch=80 | Vel=50
T=0.0000s | Pitch=77 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=71 | Vel=50
T=0.0000s | Pitch=68 | Vel=50
T=0.0000s | Pitch=65 | Vel=50
T=0.0000s | Pitch=76 | Vel=50
T=0.0000s | Pitch=77 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=72 | Vel=50
T=0.0000s | Pitch=71 | Vel=50
T=0.0000s | Pitch=68 | Vel=50
T=0.0000s | Pitch=81 | Vel=50
T=0.0000s | Pitch=80 | Vel=50
T=0.0000s | Pitch=71 | Vel=50
T=0.0000s | Pitch=77 | Vel=50
T=0.0000s | Pitch=76 | Vel=50
T=0.0000s | Pitch=72 | Vel=50
T=0.0000s | Pitch=69 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=69 | Vel=50
T=0.0000s | Pitch=68 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=55 | Vel=50
T=0.0000s | Pitch=59 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=59 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=71 | Vel=50
T=0.0000s | Pitch=59 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=71 | Vel=50
T=0.0000s | Pitch=76 | Vel=50
T=0.0000s | Pitch=71 | Vel=50
T=0.0000s | Pitch=71 | Vel=50
T=0.0000s | Pitch=83 | Vel=50
T=0.0000s | Pitch=72 | Vel=50
T=0.0000s | Pitch=84 | Vel=50
T=0.0000s | Pitch=69 | Vel=50
T=0.0000s | Pitch=81 | Vel=50
T=0.0000s | Pitch=76 | Vel=50
T=0.0000s | Pitch=88 | Vel=50
T=0.0000s | Pitch=73 | Vel=50
T=0.0000s | Pitch=85 | Vel=50
T=0.0000s | Pitch=69 | Vel=50
T=0.0000s | Pitch=81 | Vel=50
T=0.0000s | Pitch=78 | Vel=50
T=0.0000s | Pitch=90 | Vel=50
T=0.0000s | Pitch=78 | Vel=50
T=0.0000s | Pitch=90 | Vel=50
T=0.0000s | Pitch=61 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=69 | Vel=50
T=0.0000s | Pitch=73 | Vel=50
T=0.0000s | Pitch=77 | Vel=50
T=0.0000s | Pitch=78 | Vel=50
T=0.0000s | Pitch=69 | Vel=50
T=0.0000s | Pitch=73 | Vel=50
T=0.0000s | Pitch=78 | Vel=50
T=0.0000s | Pitch=81 | Vel=50
T=0.0000s | Pitch=84 | Vel=50
T=0.0000s | Pitch=85 | Vel=50
T=0.0000s | Pitch=73 | Vel=50
T=0.0000s | Pitch=69 | Vel=50
T=0.0000s | Pitch=73 | Vel=50
T=0.0000s | Pitch=78 | Vel=50
T=0.0000s | Pitch=81 | Vel=50
T=0.0000s | Pitch=85 | Vel=50
T=0.0000s | Pitch=85 | Vel=50
T=0.0000s | Pitch=87 | Vel=50
T=0.0000s | Pitch=84 | Vel=50
T=0.0000s | Pitch=82 | Vel=50
T=0.0000s | Pitch=84 | Vel=50
T=0.0000s | Pitch=81 | Vel=50
T=0.0000s | Pitch=77 | Vel=50
T=0.0000s | Pitch=78 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=73 | Vel=50
T=0.0000s | Pitch=77 | Vel=50
T=0.0000s | Pitch=81 | Vel=50
T=0.0000s | Pitch=82 | Vel=50
T=0.0000s | Pitch=85 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=78 | Vel=50
T=0.0000s | Pitch=65 | Vel=50
T=0.0000s | Pitch=77 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=68 | Vel=50
T=0.0000s | Pitch=73 | Vel=50
T=0.0000s | Pitch=76 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=76 | Vel=50
T=0.0000s | Pitch=56 | Vel=50
T=0.0000s | Pitch=68 | Vel=50
T=0.0000s | Pitch=61 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=68 | Vel=50
T=0.0000s | Pitch=73 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=72 | Vel=50
T=0.0000s | Pitch=59 | Vel=50
T=0.0000s | Pitch=71 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=57 | Vel=50
T=0.0000s | Pitch=69 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=51 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=54 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=51 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=54 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=78 | Vel=50
T=0.0000s | Pitch=65 | Vel=50
T=0.0000s | Pitch=77 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=68 | Vel=50
T=0.0000s | Pitch=73 | Vel=50
T=0.0000s | Pitch=76 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=76 | Vel=50
T=0.0000s | Pitch=56 | Vel=50
T=0.0000s | Pitch=68 | Vel=50
T=0.0000s | Pitch=61 | Vel=50
T=0.0000s | Pitch=64 | Vel=50
T=0.0000s | Pitch=68 | Vel=50
T=0.0000s | Pitch=73 | Vel=50
T=0.0000s | Pitch=60 | Vel=50
T=0.0000s | Pitch=72 | Vel=50
T=0.0000s | Pitch=59 | Vel=50
T=0.0000s | Pitch=71 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=57 | Vel=50
T=0.0000s | Pitch=69 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=51 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=54 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=54 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=58 | Vel=50
T=0.0000s | Pitch=62 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=82 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=82 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=86 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=86 | Vel=50
T=0.0000s | Pitch=74 | Vel=50
T=0.0000s | Pitch=86 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=87 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=82 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=78 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=82 | Vel=50
T=0.0000s | Pitch=67 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=82 | Vel=50
T=0.0000s | Pitch=87 | Vel=50
T=0.0000s | Pitch=91 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=79 | Vel=50
T=0.0000s | Pitch=82 | Vel=50
T=0.0000s | Pitch=86 | Vel=50
T=0.0000s | Pitch=91 | Vel=50
T=0.0000s | Pitch=78 | Vel=50
T=0.0000s | Pitch=90 | Vel=50
T=0.0000s | Pitch=77 | Vel=50
T=0.0000s | Pitch=89 | Vel=50
T=0.0000s | Pitch=76 | Vel=50
T=0.0000s | Pitch=80 | Vel=50
T=0.0000s | Pitch=85 | Vel=50
T=0.0000s | Pitch=88 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=87 | Vel=50
T=0.0000s | Pitch=76 | Vel=50
T=0.0000s | Pitch=88 | Vel=50
T=0.0000s | Pitch=68 | Vel=50
T=0.0000s | Pitch=80 | Vel=50
T=0.0000s | Pitch=73 | Vel=50
T=0.0000s | Pitch=76 | Vel=50
T=0.0000s | Pitch=80 | Vel=50
T=0.0000s | Pitch=85 | Vel=50
T=0.0000s | Pitch=72 | Vel=50
T=0.0000s | Pitch=84 | Vel=50
T=0.0000s | Pitch=71 | Vel=50
T=0.0000s | Pitch=83 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=78 | Vel=50
T=0.0000s | Pitch=82 | Vel=50
T=0.0000s | Pitch=69 | Vel=50
T=0.0000s | Pitch=81 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=82 | Vel=50
T=0.0000s | Pitch=63 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=78 | Vel=50
T=0.0000s | Pitch=66 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
T=0.0000s | Pitch=75 | Vel=50
T=0.0000s | Pitch=82 | Vel=50
T=0.0000s | Pitch=70 | Vel=50
