# MIDI Notes Export
# Format: T (seconds) | Pitch (MIDI note number) | Velocity
# ============================================================

T=0.0000s | Pitch=64 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=64 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=88 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=60 | Vel=120
T=0.0000s | Pitch=64 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=64 | Vel=120
T=0.0000s | Pitch=68 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=64 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=60 | Vel=120
T=0.0000s | Pitch=64 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=62 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=60 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=64 | Vel=120
T=0.0000s | Pitch=65 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=64 | Vel=120
T=0.0000s | Pitch=67 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=77 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=82 | Vel=120
T=0.0000s | Pitch=81 | Vel=120
T=0.0000s | Pitch=81 | Vel=120
T=0.0000s | Pitch=79 | Vel=120
T=0.0000s | Pitch=77 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=70 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=70 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=67 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=70 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=77 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=79 | Vel=120
T=0.0000s | Pitch=67 | Vel=120
T=0.0000s | Pitch=79 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=79 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=79 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=79 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=79 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=79 | Vel=120
T=0.0000s | Pitch=84 | Vel=120
T=0.0000s | Pitch=83 | Vel=120
T=0.0000s | Pitch=81 | Vel=120
T=0.0000s | Pitch=79 | Vel=120
T=0.0000s | Pitch=77 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=79 | Vel=120
T=0.0000s | Pitch=77 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=79 | Vel=120
T=0.0000s | Pitch=67 | Vel=120
T=0.0000s | Pitch=79 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=79 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=79 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=79 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=79 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=79 | Vel=120
T=0.0000s | Pitch=84 | Vel=120
T=0.0000s | Pitch=83 | Vel=120
T=0.0000s | Pitch=81 | Vel=120
T=0.0000s | Pitch=79 | Vel=120
T=0.0000s | Pitch=77 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=79 | Vel=120
T=0.0000s | Pitch=77 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=77 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=60 | Vel=120
T=0.0000s | Pitch=64 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=64 | Vel=120
T=0.0000s | Pitch=68 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=64 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=60 | Vel=120
T=0.0000s | Pitch=64 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=62 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=60 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=67 | Vel=120
T=0.0000s | Pitch=77 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=65 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=64 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=64 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=88 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=60 | Vel=120
T=0.0000s | Pitch=64 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=64 | Vel=120
T=0.0000s | Pitch=68 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=64 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=75 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=60 | Vel=120
T=0.0000s | Pitch=64 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=62 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=60 | Vel=120
T=0.0000s | Pitch=70 | Vel=120
T=0.0000s | Pitch=64 | Vel=120
T=0.0000s | Pitch=73 | Vel=120
T=0.0000s | Pitch=67 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=65 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=73 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=77 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=68 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=77 | Vel=120
T=0.0000s | Pitch=68 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=77 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=76 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=74 | Vel=120
T=0.0000s | Pitch=65 | Vel=120
T=0.0000s | Pitch=72 | Vel=120
T=0.0000s | Pitch=64 | Vel=120
T=0.0000s | Pitch=71 | Vel=120
T=0.0000s | Pitch=62 | Vel=120
T=0.0000s | Pitch=60 | Vel=120
T=0.0000s | Pitch=69 | Vel=120
T=0.0000s | Pitch=66 | Vel=120
